City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
153,Warmbad,,65.84,few clouds,-28.45,18.7333,
270,Lasa,IT,65.03,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
296,General Cepeda,MX,65.07,overcast clouds,25.3833,-101.45,Hacienda Los Jose
322,Viersen,DE,65.1,broken clouds,51.25,6.3833,Hotel Rahserhof
357,Grinnell,US,65.59,mist,41.743,-92.7224,"Country Inn & Suites by Radisson, Grinnell, IA"
361,Marawi,PH,65.64,broken clouds,7.9986,124.2928,Derogongan Residence
431,Chynadiyovo,UA,65.61,broken clouds,48.4818,22.8217,Vorobey
606,Broken Hill,AU,65.7,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
627,Piney Green,US,65.89,clear sky,34.716,-77.3202,Holiday City Mobile Home Community
636,Erenhot,CN,65.17,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
